metal,conc,strain,machine,plate,well
NI,2,blank1,BIO2,left,Well 101
MN,6,OLY010_2,BIO2,left,Well 102
MN,7,OLY008_3,BIO2,left,Well 103
MN,5,OLY079c,BIO2,left,Well 104
NI,7,OLY008_2,BIO2,left,Well 105
NI,5,OLY010_2,BIO2,left,Well 106
MN,2,OLY079a,BIO2,left,Well 107
MN,3,OLY010_2,BIO2,left,Well 108
NI,2,OLY079b,BIO2,left,Well 109
MN,5,OLY008_2,BIO2,left,Well 110
NI,3,blank1,BIO2,left,Well 111
NI,5,blank1,BIO2,left,Well 112
NI,3,OLY008_3,BIO2,left,Well 113
NI,5,OLY008_3,BIO2,left,Well 114
NI,4,OLY079a,BIO2,left,Well 115
MN,3,OLY079a,BIO2,left,Well 116
MN,4,OLY010_3,BIO2,left,Well 117
NI,6,OLY008_3,BIO2,left,Well 118
NI,5,OLY008_2,BIO2,left,Well 119
MN,5,blank1,BIO2,left,Well 120
NI,7,OLY010_3,BIO2,left,Well 121
MN,6,OLY010_3,BIO2,left,Well 122
NI,7,OLY008_3,BIO2,left,Well 123
NI,5,OLY079b,BIO2,left,Well 124
MN,3,OLY008_3,BIO2,left,Well 125
MN,4,OLY079c,BIO2,left,Well 126
MN,3,OLY079c,BIO2,left,Well 127
NI,6,OLY010_3,BIO2,left,Well 128
NI,2,OLY008_1,BIO2,left,Well 129
MN,7,blank1,BIO2,left,Well 130
MN,5,OLY010_2,BIO2,left,Well 131
NI,3,OLY010_3,BIO2,left,Well 132
NI,1,OLY079a,BIO2,left,Well 133
NI,4,OLY010_1,BIO2,left,Well 134
MN,5,OLY079a,BIO2,left,Well 135
MN,5,OLY008_1,BIO2,left,Well 136
MN,7,OLY079a,BIO2,left,Well 137
NI,3,OLY079b,BIO2,left,Well 138
NI,4,OLY079b,BIO2,left,Well 139
MN,5,OLY010_1,BIO2,left,Well 140
NI,1,OLY010_1,BIO2,left,Well 141
NI,4,OLY010_2,BIO2,left,Well 142
NI,4,OLY079c,BIO2,left,Well 143
MN,3,blank1,BIO2,left,Well 144
NI,3,OLY008_2,BIO2,left,Well 145
MN,2,OLY010_3,BIO2,left,Well 146
MN,1,OLY010_2,BIO2,left,Well 147
MN,6,OLY008_3,BIO2,left,Well 148
MN,6,OLY008_2,BIO2,left,Well 149
NI,5,OLY079a,BIO2,left,Well 150
NI,7,blank1,BIO2,left,Well 151
NI,1,OLY010_3,BIO2,left,Well 152
MN,6,OLY008_1,BIO2,left,Well 153
NI,3,OLY008_1,BIO2,left,Well 154
MN,1,OLY008_2,BIO2,left,Well 155
NI,1,OLY079c,BIO2,left,Well 156
MN,1,OLY008_3,BIO2,left,Well 157
MN,6,OLY079b,BIO2,left,Well 158
NI,7,OLY010_2,BIO2,left,Well 159
MN,5,OLY079b,BIO2,left,Well 160
MN,7,OLY008_1,BIO2,left,Well 161
MN,4,OLY008_3,BIO2,left,Well 162
MN,2,OLY079c,BIO2,left,Well 163
MN,6,OLY010_1,BIO2,left,Well 164
NI,6,OLY008_2,BIO2,left,Well 165
MN,4,OLY008_2,BIO2,left,Well 166
MN,1,OLY010_1,BIO2,left,Well 167
NI,7,OLY079a,BIO2,left,Well 168
NI,3,OLY079a,BIO2,left,Well 169
NI,2,OLY008_3,BIO2,left,Well 170
NI,4,OLY010_3,BIO2,left,Well 171
NI,3,OLY010_1,BIO2,left,Well 172
MN,3,OLY010_1,BIO2,left,Well 173
MN,5,OLY010_3,BIO2,left,Well 174
MN,4,OLY079a,BIO2,left,Well 175
MN,2,OLY008_2,BIO2,left,Well 176
MN,2,OLY008_3,BIO2,left,Well 177
MN,3,OLY008_1,BIO2,left,Well 178
MN,2,OLY010_2,BIO2,left,Well 179
NI,2,OLY008_2,BIO2,left,Well 180
NI,1,OLY008_3,BIO2,left,Well 181
NI,6,OLY008_1,BIO2,left,Well 182
MN,7,OLY010_2,BIO2,left,Well 183
NI,5,OLY010_3,BIO2,left,Well 184
NI,2,OLY010_3,BIO2,left,Well 185
NI,4,blank1,BIO2,left,Well 186
MN,7,OLY010_3,BIO2,left,Well 187
NI,7,OLY079c,BIO2,left,Well 188
MN,3,OLY010_3,BIO2,left,Well 189
MN,1,OLY008_1,BIO2,left,Well 190
NI,4,OLY008_2,BIO2,left,Well 191
MN,6,blank1,BIO2,left,Well 192
NI,6,blank1,BIO2,left,Well 193
NI,6,OLY079a,BIO2,left,Well 194
MN,6,OLY079c,BIO2,left,Well 195
MN,3,OLY008_2,BIO2,left,Well 196
MN,1,blank1,BIO2,left,Well 197
MN,1,OLY079b,BIO2,left,Well 198
NI,6,OLY010_1,BIO2,left,Well 199
MN,1,OLY079c,BIO2,left,Well 200
NI,2,OLY079a,BIO2,right,Well 201
MN,7,OLY079b,BIO2,right,Well 202
MN,7,OLY079c,BIO2,right,Well 203
MN,7,OLY010_1,BIO2,right,Well 204
MN,4,OLY079b,BIO2,right,Well 205
NI,1,OLY079b,BIO2,right,Well 206
MN,2,OLY079b,BIO2,right,Well 207
NI,3,OLY010_2,BIO2,right,Well 208
NI,7,OLY079b,BIO2,right,Well 209
NI,6,OLY079b,BIO2,right,Well 210
NI,5,OLY010_1,BIO2,right,Well 211
NI,4,OLY008_1,BIO2,right,Well 212
NI,2,OLY010_1,BIO2,right,Well 213
NI,7,OLY010_1,BIO2,right,Well 214
NI,1,OLY010_2,BIO2,right,Well 215
NI,1,OLY008_2,BIO2,right,Well 216
MN,2,blank1,BIO2,right,Well 217
MN,2,OLY010_1,BIO2,right,Well 218
NI,2,OLY079c,BIO2,right,Well 219
NI,5,OLY008_1,BIO2,right,Well 220
MN,4,OLY008_1,BIO2,right,Well 221
MN,5,OLY008_3,BIO2,right,Well 222
MN,2,OLY008_1,BIO2,right,Well 223
MN,4,blank1,BIO2,right,Well 224
NI,5,OLY079c,BIO2,right,Well 225
NI,6,OLY079c,BIO2,right,Well 226
MN,6,OLY079a,BIO2,right,Well 227
MN,1,OLY010_3,BIO2,right,Well 228
MN,1,OLY079a,BIO2,right,Well 229
NI,2,OLY010_2,BIO2,right,Well 230
NI,1,OLY008_1,BIO2,right,Well 231
NI,7,OLY008_1,BIO2,right,Well 232
MN,3,OLY079b,BIO2,right,Well 233
MN,7,OLY008_2,BIO2,right,Well 234
MN,4,OLY010_1,BIO2,right,Well 235
NI,1,blank1,BIO2,right,Well 236
