metal,conc,strain,machine,plate,well
ZN,2,OLY010,bio2,left,Well 101
NI,3,blank,bio2,left,Well 102
NI,1,OLY008,bio2,left,Well 103
CO,2,OLY010,bio2,left,Well 104
CD,2,blank,bio2,left,Well 105
NI,4,blank,bio2,left,Well 106
CD,5,blank,bio2,left,Well 107
CU,4,blank,bio2,left,Well 108
CU,4,OLY010,bio2,left,Well 109
MN,7,OLY010,bio2,left,Well 110
FE,1,OLY008,bio2,left,Well 111
MN,4,OLY010,bio2,left,Well 112
CD,2,OLY008,bio2,left,Well 113
MN,6,OLY010,bio2,left,Well 114
FE,5,blank,bio2,left,Well 115
MN,5,blank,bio2,left,Well 116
CD,3,OLY008,bio2,left,Well 117
CU,3,OLY008,bio2,left,Well 118
MN,7,blank,bio2,left,Well 119
NI,4,OLY010,bio2,left,Well 120
CD,7,OLY008,bio2,left,Well 121
NI,1,OLY010,bio2,left,Well 122
CD,2,OLY010,bio2,left,Well 123
CU,4,OLY008,bio2,left,Well 124
MN,2,OLY010,bio2,left,Well 125
MN,1,OLY010,bio2,left,Well 126
CD,1,blank,bio2,left,Well 127
FE,6,blank,bio2,left,Well 128
ZN,5,OLY008,bio2,left,Well 129
CD,5,OLY010,bio2,left,Well 130
MN,7,OLY008,bio2,left,Well 131
CD,4,OLY008,bio2,left,Well 132
CU,7,OLY008,bio2,left,Well 133
CU,2,OLY008,bio2,left,Well 134
MN,4,OLY010,bio2,left,Well 135
FE,1,OLY008,bio2,left,Well 136
CD,1,OLY008,bio2,left,Well 137
FE,7,OLY010,bio2,left,Well 138
CO,5,OLY008,bio2,left,Well 139
MN,5,OLY010,bio2,left,Well 140
NI,5,OLY008,bio2,left,Well 141
FE,5,OLY010,bio2,left,Well 142
MN,1,OLY008,bio2,left,Well 143
NI,7,OLY010,bio2,left,Well 144
CD,5,blank,bio2,left,Well 145
FE,2,OLY008,bio2,left,Well 146
ZN,7,OLY010,bio2,left,Well 147
NI,1,blank,bio2,left,Well 148
CO,6,OLY010,bio2,left,Well 149
NI,3,OLY010,bio2,left,Well 150
CU,3,OLY010,bio2,left,Well 151
MN,3,OLY008,bio2,left,Well 152
FE,6,OLY010,bio2,left,Well 153
CU,2,OLY010,bio2,left,Well 154
FE,3,OLY008,bio2,left,Well 155
ZN,6,OLY010,bio2,left,Well 156
CD,5,OLY008,bio2,left,Well 157
CD,2,OLY010,bio2,left,Well 158
CU,7,blank,bio2,left,Well 159
ZN,5,blank,bio2,left,Well 160
FE,4,OLY008,bio2,left,Well 161
CO,2,OLY008,bio2,left,Well 162
CD,3,OLY010,bio2,left,Well 163
NI,7,OLY010,bio2,left,Well 164
MN,5,OLY008,bio2,left,Well 165
MN,7,OLY008,bio2,left,Well 166
NI,6,OLY010,bio2,left,Well 167
ZN,5,OLY010,bio2,left,Well 168
CU,4,OLY008,bio2,left,Well 169
ZN,4,blank,bio2,left,Well 170
CU,1,OLY008,bio2,left,Well 171
ZN,6,OLY010,bio2,left,Well 172
FE,3,OLY010,bio2,left,Well 173
ZN,6,OLY008,bio2,left,Well 174
CO,2,OLY008,bio2,left,Well 175
CD,6,blank,bio2,left,Well 176
CU,3,OLY010,bio2,left,Well 177
NI,6,OLY008,bio2,left,Well 178
CD,3,OLY008,bio2,left,Well 179
NI,4,OLY010,bio2,left,Well 180
CO,5,OLY010,bio2,left,Well 181
ZN,2,OLY008,bio2,left,Well 182
CD,6,OLY010,bio2,left,Well 183
FE,5,OLY008,bio2,left,Well 184
ZN,7,OLY010,bio2,left,Well 185
CU,7,OLY010,bio2,left,Well 186
CU,5,OLY010,bio2,left,Well 187
FE,2,OLY010,bio2,left,Well 188
CD,7,OLY008,bio2,left,Well 189
CD,1,blank,bio2,left,Well 190
ZN,1,OLY010,bio2,left,Well 191
CD,7,OLY010,bio2,left,Well 192
ZN,2,OLY008,bio2,left,Well 193
FE,2,blank,bio2,left,Well 194
CO,6,OLY010,bio2,left,Well 195
MN,1,OLY010,bio2,left,Well 196
NI,2,OLY010,bio2,left,Well 197
CU,6,OLY010,bio2,left,Well 198
blank,blank,blank,bio2,left,Well 199
blank,blank,blank,bio2,left,Well 200
CU,4,blank,bio2,right,Well 201
ZN,3,OLY008,bio2,right,Well 202
CU,2,OLY010,bio2,right,Well 203
CD,2,OLY010,bio2,right,Well 204
NI,3,OLY008,bio2,right,Well 205
FE,4,OLY008,bio2,right,Well 206
NI,7,OLY008,bio2,right,Well 207
MN,5,OLY010,bio2,right,Well 208
NI,2,blank,bio2,right,Well 209
