CHR,BASE,DEPTH
ref|NC_001133|,114,17.73
ref|NC_001133|,214,36.78
ref|NC_001133|,314,44.59
ref|NC_001133|,414,60.27
ref|NC_001133|,514,76.72
ref|NC_001133|,614,94.42
ref|NC_001133|,714,118.18
ref|NC_001133|,814,75.5
ref|NC_001133|,914,75.42
ref|NC_001133|,1014,119.21
ref|NC_001133|,1114,128.04
ref|NC_001133|,1214,104.54
ref|NC_001133|,1314,104.14
ref|NC_001133|,1414,107.02
ref|NC_001133|,1514,73.4
ref|NC_001133|,1614,65.73
ref|NC_001133|,1714,79.9
ref|NC_001133|,1814,85.47
ref|NC_001133|,1914,78.41
ref|NC_001133|,2014,58.19
ref|NC_001133|,2114,49.32
ref|NC_001133|,2214,45.81
ref|NC_001133|,2314,63.21
ref|NC_001133|,2414,83.46
ref|NC_001133|,2514,61.78
ref|NC_001133|,2614,59.7599999999999
ref|NC_001133|,2714,58.79
ref|NC_001133|,2814,42.84
ref|NC_001133|,2914,51.55
ref|NC_001133|,3014,54.56
ref|NC_001133|,3114,49.61
ref|NC_001133|,3214,53.01
ref|NC_001133|,3314,49.83
ref|NC_001133|,3414,48.49
ref|NC_001133|,3514,40.65
ref|NC_001133|,3614,49.56
ref|NC_001133|,3714,59.07
ref|NC_001133|,3814,50.19
ref|NC_001133|,3914,47.27
ref|NC_001133|,4014,44.75
ref|NC_001133|,4114,43.02
ref|NC_001133|,4214,47.46
ref|NC_001133|,4314,53.32
ref|NC_001133|,4414,51.08
ref|NC_001133|,4514,49.04
ref|NC_001133|,4614,49.68
ref|NC_001133|,4714,50.68
ref|NC_001133|,4814,44.77
ref|NC_001133|,4914,41.2799999999999
ref|NC_001133|,5014,45.67
ref|NC_001133|,5114,46.3200000000001
ref|NC_001133|,5214,40.22
ref|NC_001133|,5314,50.0700000000001
ref|NC_001133|,5414,42.85
ref|NC_001133|,5514,44.28
ref|NC_001133|,5614,41.75
ref|NC_001133|,5714,41.81
ref|NC_001133|,5814,37.8
ref|NC_001133|,5914,34.67
ref|NC_001133|,6014,40.27
ref|NC_001133|,6114,46.54
ref|NC_001133|,6214,55.06
ref|NC_001133|,6314,54.81
ref|NC_001133|,6414,51.23
ref|NC_001133|,6514,46.86
ref|NC_001133|,6614,55.42
ref|NC_001133|,6714,37.99
ref|NC_001133|,6814,29.6
ref|NC_001133|,6914,53.47
ref|NC_001133|,7014,52.69
ref|NC_001133|,7114,47.25
ref|NC_001133|,7214,59.12
ref|NC_001133|,7314,57.64
ref|NC_001133|,7414,51.17
ref|NC_001133|,7514,53.6
ref|NC_001133|,7614,46.98
ref|NC_001133|,7714,44.08
ref|NC_001133|,7814,53.35
ref|NC_001133|,7914,63.97
ref|NC_001133|,8014,56.99
ref|NC_001133|,8114,55.19
ref|NC_001133|,8214,55.71
ref|NC_001133|,8314,45.51
ref|NC_001133|,8414,39.57
ref|NC_001133|,8514,46.9
ref|NC_001133|,8614,44.47
ref|NC_001133|,8714,37.37
ref|NC_001133|,8814,51.13
ref|NC_001133|,8914,60.83
ref|NC_001133|,9014,60.68
ref|NC_001133|,9114,60.3
ref|NC_001133|,9214,53.43
ref|NC_001133|,9314,45.55
ref|NC_001133|,9414,46.84
ref|NC_001133|,9514,60.6
ref|NC_001133|,9614,57.02
ref|NC_001133|,9714,50.89
ref|NC_001133|,9814,50.14
ref|NC_001133|,9914,41.04
ref|NC_001133|,10014,48.79
ref|NC_001133|,10114,58.02
ref|NC_001133|,10214,48.73
ref|NC_001133|,10314,43.43
ref|NC_001133|,10414,49.04
ref|NC_001133|,10514,59.79
ref|NC_001133|,10614,54.84
ref|NC_001133|,10714,47.93
ref|NC_001133|,10814,51.59
ref|NC_001133|,10914,49.64
ref|NC_001133|,11014,47.89
ref|NC_001133|,11114,50.19
ref|NC_001133|,11214,53.33
ref|NC_001133|,11314,46.61
ref|NC_001133|,11414,42.78
ref|NC_001133|,11514,50.85
ref|NC_001133|,11614,49.66
ref|NC_001133|,11714,56.2
ref|NC_001133|,11814,51.26
ref|NC_001133|,11914,48.89
ref|NC_001133|,12014,42.36
ref|NC_001133|,12114,36.27
ref|NC_001133|,12214,33.15
ref|NC_001133|,12314,36.6
ref|NC_001133|,12414,40.81
ref|NC_001133|,12514,48.13
ref|NC_001133|,12614,65.59
ref|NC_001133|,12714,124.23
ref|NC_001133|,12814,86.9
ref|NC_001133|,12914,50.6
ref|NC_001133|,13014,44.13
ref|NC_001133|,13114,46.28
ref|NC_001133|,13214,43.63
ref|NC_001133|,13314,50.9400000000001
ref|NC_001133|,13414,70
ref|NC_001133|,13514,92.8399999999999
ref|NC_001133|,13614,95.15
ref|NC_001133|,13714,102.83
ref|NC_001133|,13814,89.84
ref|NC_001133|,13914,80.78
ref|NC_001133|,14014,76.06
ref|NC_001133|,14114,63.14
ref|NC_001133|,14214,66.19
ref|NC_001133|,14314,75.3099999999999
ref|NC_001133|,14414,74.42
ref|NC_001133|,14514,80.23
ref|NC_001133|,14614,85.68
ref|NC_001133|,14714,82.7
ref|NC_001133|,14814,71.27
ref|NC_001133|,14914,67.61
ref|NC_001133|,15014,81.12
ref|NC_001133|,15114,99.5300000000001
ref|NC_001133|,15214,88.97
ref|NC_001133|,15314,95.87
ref|NC_001133|,15414,84.57
ref|NC_001133|,15514,64.8699999999999
ref|NC_001133|,15614,76.45
ref|NC_001133|,15714,85.3699999999999
ref|NC_001133|,15814,87.2
ref|NC_001133|,15914,110.4
ref|NC_001133|,16014,99.01
ref|NC_001133|,16114,97.4499999999999
ref|NC_001133|,16214,106.56
ref|NC_001133|,16314,85.82
ref|NC_001133|,16414,104.12
ref|NC_001133|,16514,103.3
ref|NC_001133|,16614,95.94
ref|NC_001133|,16714,91.1
ref|NC_001133|,16814,66.05
ref|NC_001133|,16914,55.86
ref|NC_001133|,17014,52.13
ref|NC_001133|,17114,58.57
ref|NC_001133|,17214,62.31
ref|NC_001133|,17314,81.15
ref|NC_001133|,17414,84.16
ref|NC_001133|,17514,84.75
ref|NC_001133|,17614,86.3499999999999
ref|NC_001133|,17714,70.75
ref|NC_001133|,17814,57.2800000000001
ref|NC_001133|,17914,51.57
ref|NC_001133|,18014,49.08
ref|NC_001133|,18114,65.87
ref|NC_001133|,18214,72.64
ref|NC_001133|,18314,88.15
ref|NC_001133|,18414,93.8
ref|NC_001133|,18514,99.24
ref|NC_001133|,18614,90.2700000000001
ref|NC_001133|,18714,83.31
ref|NC_001133|,18814,90.27
ref|NC_001133|,18914,66.73
ref|NC_001133|,19014,84.58
ref|NC_001133|,19114,78.36
ref|NC_001133|,19214,77.95
ref|NC_001133|,19314,79.84
ref|NC_001133|,19414,86.55
ref|NC_001133|,19514,87.06
ref|NC_001133|,19614,76.25
ref|NC_001133|,19714,55.6600000000001
ref|NC_001133|,19814,47.56
ref|NC_001133|,19914,58.03
ref|NC_001133|,20014,57.88
ref|NC_001133|,20114,65.42
