CHR,BASE,DEPTH
ref|NC_001133|,126,17.47
ref|NC_001133|,226,30.13
ref|NC_001133|,326,35.37
ref|NC_001133|,426,45.39
ref|NC_001133|,526,57.16
ref|NC_001133|,626,72.8099999999999
ref|NC_001133|,726,56.72
ref|NC_001133|,826,42.52
ref|NC_001133|,926,39.19
ref|NC_001133|,1026,71.65
ref|NC_001133|,1126,79.72
ref|NC_001133|,1226,62.4000000000001
ref|NC_001133|,1326,67.12
ref|NC_001133|,1426,66.6
ref|NC_001133|,1526,41.32
ref|NC_001133|,1626,51.2
ref|NC_001133|,1726,51.19
ref|NC_001133|,1826,49.02
ref|NC_001133|,1926,35.05
ref|NC_001133|,2026,34.79
ref|NC_001133|,2126,33.29
ref|NC_001133|,2226,34.14
ref|NC_001133|,2326,37.32
ref|NC_001133|,2426,44.19
ref|NC_001133|,2526,36.8
ref|NC_001133|,2626,44.65
ref|NC_001133|,2726,37.94
ref|NC_001133|,2826,41.94
ref|NC_001133|,2926,43.41
ref|NC_001133|,3026,39.68
ref|NC_001133|,3126,31.55
ref|NC_001133|,3226,38.72
ref|NC_001133|,3326,33.11
ref|NC_001133|,3426,28.41
ref|NC_001133|,3526,23
ref|NC_001133|,3626,28.76
ref|NC_001133|,3726,27.67
ref|NC_001133|,3826,27.32
ref|NC_001133|,3926,35.83
ref|NC_001133|,4026,31.98
ref|NC_001133|,4126,30.47
ref|NC_001133|,4226,27.96
ref|NC_001133|,4326,19.81
ref|NC_001133|,4426,25.55
ref|NC_001133|,4526,24.49
ref|NC_001133|,4626,27.64
ref|NC_001133|,4726,28.49
ref|NC_001133|,4826,22.12
ref|NC_001133|,4926,34.29
ref|NC_001133|,5026,31.42
ref|NC_001133|,5126,32.14
ref|NC_001133|,5226,36.23
ref|NC_001133|,5326,31.44
ref|NC_001133|,5426,31.38
ref|NC_001133|,5526,30.45
ref|NC_001133|,5626,24.29
ref|NC_001133|,5726,28.08
ref|NC_001133|,5826,35.2
ref|NC_001133|,5926,29.25
ref|NC_001133|,6026,23.15
ref|NC_001133|,6126,32.7
ref|NC_001133|,6226,37.67
ref|NC_001133|,6326,40.06
ref|NC_001133|,6426,35.33
ref|NC_001133|,6526,35.32
ref|NC_001133|,6626,30.57
ref|NC_001133|,6726,24.88
ref|NC_001133|,6826,22.04
ref|NC_001133|,6926,31.03
ref|NC_001133|,7026,28.77
ref|NC_001133|,7126,22.66
ref|NC_001133|,7226,26.23
ref|NC_001133|,7326,24.84
ref|NC_001133|,7426,22.46
ref|NC_001133|,7526,22.38
ref|NC_001133|,7626,27.11
ref|NC_001133|,7726,26.33
ref|NC_001133|,7826,28.59
ref|NC_001133|,7926,24.26
ref|NC_001133|,8026,26.15
ref|NC_001133|,8126,37.51
ref|NC_001133|,8226,30.66
ref|NC_001133|,8326,22.1500000000001
ref|NC_001133|,8426,19.2
ref|NC_001133|,8526,24
ref|NC_001133|,8626,27.01
ref|NC_001133|,8726,22.69
ref|NC_001133|,8826,26.73
ref|NC_001133|,8926,23.84
ref|NC_001133|,9026,30.16
ref|NC_001133|,9126,31.86
ref|NC_001133|,9226,27.54
ref|NC_001133|,9326,25.13
ref|NC_001133|,9426,23.77
ref|NC_001133|,9526,22.73
ref|NC_001133|,9626,32.47
ref|NC_001133|,9726,32.38
ref|NC_001133|,9826,30.17
ref|NC_001133|,9926,31.19
ref|NC_001133|,10026,31.4799999999999
ref|NC_001133|,10126,28.02
ref|NC_001133|,10226,23.41
ref|NC_001133|,10326,27.64
ref|NC_001133|,10426,21.62
ref|NC_001133|,10526,20.93
ref|NC_001133|,10626,20.32
ref|NC_001133|,10726,20.08
ref|NC_001133|,10826,21.7
ref|NC_001133|,10926,28.16
ref|NC_001133|,11026,27.24
ref|NC_001133|,11126,29.88
ref|NC_001133|,11226,30.74
ref|NC_001133|,11326,22.73
ref|NC_001133|,11426,32.69
ref|NC_001133|,11526,35.16
ref|NC_001133|,11626,34.19
ref|NC_001133|,11726,31.73
ref|NC_001133|,11826,34.96
ref|NC_001133|,11926,41.14
ref|NC_001133|,12026,32.22
ref|NC_001133|,12126,25.14
ref|NC_001133|,12226,17.94
ref|NC_001133|,12326,23.63
ref|NC_001133|,12426,33.39
ref|NC_001133|,12526,35.29
ref|NC_001133|,12626,46.45
ref|NC_001133|,12726,81.29
ref|NC_001133|,12826,43.49
ref|NC_001133|,12926,29.27
ref|NC_001133|,13026,22.61
ref|NC_001133|,13126,23.84
ref|NC_001133|,13226,19.78
ref|NC_001133|,13326,20.84
ref|NC_001133|,13426,37.48
ref|NC_001133|,13526,52.97
ref|NC_001133|,13626,58.46
ref|NC_001133|,13726,52.26
ref|NC_001133|,13826,49.89
ref|NC_001133|,13926,38.77
ref|NC_001133|,14026,26.97
ref|NC_001133|,14126,30.92
ref|NC_001133|,14226,34.07
ref|NC_001133|,14326,39.33
ref|NC_001133|,14426,37.03
ref|NC_001133|,14526,28.43
ref|NC_001133|,14626,54.36
ref|NC_001133|,14726,46.93
ref|NC_001133|,14826,35.27
ref|NC_001133|,14926,38.54
ref|NC_001133|,15026,42.56
ref|NC_001133|,15126,49.33
ref|NC_001133|,15226,49.72
ref|NC_001133|,15326,47.59
ref|NC_001133|,15426,41.97
ref|NC_001133|,15526,41.74
ref|NC_001133|,15626,36.4
ref|NC_001133|,15726,43.06
ref|NC_001133|,15826,55.8
ref|NC_001133|,15926,51.8599999999999
ref|NC_001133|,16026,44.18
ref|NC_001133|,16126,55.12
ref|NC_001133|,16226,60.35
ref|NC_001133|,16326,60.04
ref|NC_001133|,16426,51.05
ref|NC_001133|,16526,43.46
ref|NC_001133|,16626,46.53
ref|NC_001133|,16726,48.18
ref|NC_001133|,16826,34.29
ref|NC_001133|,16926,37.03
ref|NC_001133|,17026,36.07
ref|NC_001133|,17126,35.42
ref|NC_001133|,17226,28.01
ref|NC_001133|,17326,29.4
ref|NC_001133|,17426,39.13
ref|NC_001133|,17526,38.29
ref|NC_001133|,17626,42.13
ref|NC_001133|,17726,44.01
ref|NC_001133|,17826,31.99
ref|NC_001133|,17926,27.58
ref|NC_001133|,18026,30.24
ref|NC_001133|,18126,37.07
ref|NC_001133|,18226,45.7300000000001
ref|NC_001133|,18326,44.62
ref|NC_001133|,18426,47.59
ref|NC_001133|,18526,41.52
