CHR,BASE,DEPTH
ref|NC_001133|,101,9.98999999999999
ref|NC_001133|,201,29.08
ref|NC_001133|,301,34.79
ref|NC_001133|,401,40.85
ref|NC_001133|,501,56.03
ref|NC_001133|,601,70.59
ref|NC_001133|,701,67
ref|NC_001133|,801,62.16
ref|NC_001133|,901,61.6299999999999
ref|NC_001133|,1001,88.28
ref|NC_001133|,1101,85.5
ref|NC_001133|,1201,88.05
ref|NC_001133|,1301,91.17
ref|NC_001133|,1401,94.6
ref|NC_001133|,1501,46.7700000000001
ref|NC_001133|,1601,39.04
ref|NC_001133|,1701,49.84
ref|NC_001133|,1801,63.96
ref|NC_001133|,1901,49.29
ref|NC_001133|,2001,36.51
ref|NC_001133|,2101,31.13
ref|NC_001133|,2201,39.71
ref|NC_001133|,2301,39.05
ref|NC_001133|,2401,43.51
ref|NC_001133|,2501,33.96
ref|NC_001133|,2601,38.86
ref|NC_001133|,2701,41.15
ref|NC_001133|,2801,39.78
ref|NC_001133|,2901,35.84
ref|NC_001133|,3001,39.95
ref|NC_001133|,3101,39.93
ref|NC_001133|,3201,42.8
ref|NC_001133|,3301,38.56
ref|NC_001133|,3401,38
ref|NC_001133|,3501,40.63
ref|NC_001133|,3601,37.1
ref|NC_001133|,3701,41.51
ref|NC_001133|,3801,42.36
ref|NC_001133|,3901,36.43
ref|NC_001133|,4001,31.94
ref|NC_001133|,4101,34.35
ref|NC_001133|,4201,35.19
ref|NC_001133|,4301,36.31
ref|NC_001133|,4401,44.44
ref|NC_001133|,4501,47.17
ref|NC_001133|,4601,43.35
ref|NC_001133|,4701,47.99
ref|NC_001133|,4801,38.15
ref|NC_001133|,4901,37.78
ref|NC_001133|,5001,41.54
ref|NC_001133|,5101,36.17
ref|NC_001133|,5201,41.44
ref|NC_001133|,5301,43.2
ref|NC_001133|,5401,39.01
ref|NC_001133|,5501,40.1899999999999
ref|NC_001133|,5601,42.87
ref|NC_001133|,5701,34.68
ref|NC_001133|,5801,25.32
ref|NC_001133|,5901,27.87
ref|NC_001133|,6001,33.7
ref|NC_001133|,6101,49.63
ref|NC_001133|,6201,46.8999999999999
ref|NC_001133|,6301,48.58
ref|NC_001133|,6401,49.75
ref|NC_001133|,6501,39.95
ref|NC_001133|,6601,41.88
ref|NC_001133|,6701,43.72
ref|NC_001133|,6801,31.18
ref|NC_001133|,6901,31.63
ref|NC_001133|,7001,38.53
ref|NC_001133|,7101,40.02
ref|NC_001133|,7201,41.95
ref|NC_001133|,7301,38.39
ref|NC_001133|,7401,36.92
ref|NC_001133|,7501,31.28
ref|NC_001133|,7601,37.17
ref|NC_001133|,7701,43.47
ref|NC_001133|,7801,42.68
ref|NC_001133|,7901,35.63
ref|NC_001133|,8001,37.34
ref|NC_001133|,8101,30.97
ref|NC_001133|,8201,30.4
ref|NC_001133|,8301,32.82
ref|NC_001133|,8401,36.49
ref|NC_001133|,8501,38.84
ref|NC_001133|,8601,40.65
ref|NC_001133|,8701,42.85
ref|NC_001133|,8801,42.5200000000001
ref|NC_001133|,8901,42.96
ref|NC_001133|,9001,36.05
ref|NC_001133|,9101,35.33
ref|NC_001133|,9201,35.8
ref|NC_001133|,9301,41.16
ref|NC_001133|,9401,39.94
ref|NC_001133|,9501,44.92
ref|NC_001133|,9601,44.77
ref|NC_001133|,9701,38.04
ref|NC_001133|,9801,36.72
ref|NC_001133|,9901,46.7
ref|NC_001133|,10001,46.87
ref|NC_001133|,10101,44.01
ref|NC_001133|,10201,43.89
ref|NC_001133|,10301,43.45
ref|NC_001133|,10401,46.53
ref|NC_001133|,10501,41.25
ref|NC_001133|,10601,40.49
ref|NC_001133|,10701,42.93
ref|NC_001133|,10801,39.31
ref|NC_001133|,10901,35.99
ref|NC_001133|,11001,31.2
ref|NC_001133|,11101,29.95
ref|NC_001133|,11201,29.58
ref|NC_001133|,11301,31.79
ref|NC_001133|,11401,43.63
ref|NC_001133|,11501,37.34
ref|NC_001133|,11601,26.85
ref|NC_001133|,11701,33.31
ref|NC_001133|,11801,34.31
ref|NC_001133|,11901,35.9
ref|NC_001133|,12001,36.25
ref|NC_001133|,12101,37.52
ref|NC_001133|,12201,26.91
ref|NC_001133|,12301,34.94
ref|NC_001133|,12401,38.27
ref|NC_001133|,12501,38.73
ref|NC_001133|,12601,54.63
ref|NC_001133|,12701,110.49
ref|NC_001133|,12801,83.52
ref|NC_001133|,12901,51.78
ref|NC_001133|,13001,38.97
ref|NC_001133|,13101,35.3
ref|NC_001133|,13201,33.09
ref|NC_001133|,13301,37.1
ref|NC_001133|,13401,50.33
ref|NC_001133|,13501,62.2
ref|NC_001133|,13601,68.89
ref|NC_001133|,13701,67.95
ref|NC_001133|,13801,58.77
ref|NC_001133|,13901,54.24
ref|NC_001133|,14001,43.03
ref|NC_001133|,14101,40.62
ref|NC_001133|,14201,34.27
ref|NC_001133|,14301,40.3000000000001
ref|NC_001133|,14401,38.75
ref|NC_001133|,14501,49.71
ref|NC_001133|,14601,60.02
ref|NC_001133|,14701,63.73
ref|NC_001133|,14801,70.53
ref|NC_001133|,14901,74.91
ref|NC_001133|,15001,78.16
ref|NC_001133|,15101,69.3999999999999
ref|NC_001133|,15201,65.28
ref|NC_001133|,15301,71.35
ref|NC_001133|,15401,61.32
ref|NC_001133|,15501,52.23
ref|NC_001133|,15601,61.3
ref|NC_001133|,15701,68.35
ref|NC_001133|,15801,55.59
ref|NC_001133|,15901,64.52
ref|NC_001133|,16001,56.42
ref|NC_001133|,16101,47.8
ref|NC_001133|,16201,54.88
ref|NC_001133|,16301,52.9
ref|NC_001133|,16401,61.11
ref|NC_001133|,16501,51.64
ref|NC_001133|,16601,57.46
ref|NC_001133|,16701,56.66
ref|NC_001133|,16801,50.37
ref|NC_001133|,16901,40.28
ref|NC_001133|,17001,41.47
ref|NC_001133|,17101,42.75
ref|NC_001133|,17201,44.44
ref|NC_001133|,17301,49.75
ref|NC_001133|,17401,66.18
ref|NC_001133|,17501,70.0299999999999
ref|NC_001133|,17601,68.2
ref|NC_001133|,17701,67.76
ref|NC_001133|,17801,50.64
ref|NC_001133|,17901,50.2099999999999
ref|NC_001133|,18001,49.37
ref|NC_001133|,18101,46.41
ref|NC_001133|,18201,41.51
ref|NC_001133|,18301,65.98
