CHR,BASE,DEPTH
ref|NC_001133|,101,7.17
ref|NC_001133|,201,21.7
ref|NC_001133|,301,21.68
ref|NC_001133|,401,30.63
ref|NC_001133|,501,47.56
ref|NC_001133|,601,50.2100000000001
ref|NC_001133|,701,52.04
ref|NC_001133|,801,44.3
ref|NC_001133|,901,28.89
ref|NC_001133|,1001,43.18
ref|NC_001133|,1101,53.92
ref|NC_001133|,1201,48.11
ref|NC_001133|,1301,46.01
ref|NC_001133|,1401,44.13
ref|NC_001133|,1501,29.8
ref|NC_001133|,1601,27.39
ref|NC_001133|,1701,28.07
ref|NC_001133|,1801,34.02
ref|NC_001133|,1901,28.66
ref|NC_001133|,2001,20.34
ref|NC_001133|,2101,23.17
ref|NC_001133|,2201,22.66
ref|NC_001133|,2301,22.49
ref|NC_001133|,2401,30.29
ref|NC_001133|,2501,21.27
ref|NC_001133|,2601,28.42
ref|NC_001133|,2701,32.34
ref|NC_001133|,2801,25.09
ref|NC_001133|,2901,25.25
ref|NC_001133|,3001,17.27
ref|NC_001133|,3101,13.51
ref|NC_001133|,3201,14.59
ref|NC_001133|,3301,14.53
ref|NC_001133|,3401,18.88
ref|NC_001133|,3501,20.07
ref|NC_001133|,3601,18.44
ref|NC_001133|,3701,20.05
ref|NC_001133|,3801,15.15
ref|NC_001133|,3901,17.56
ref|NC_001133|,4001,21.58
ref|NC_001133|,4101,14.95
ref|NC_001133|,4201,20.19
ref|NC_001133|,4301,25.27
ref|NC_001133|,4401,21.19
ref|NC_001133|,4501,19.95
ref|NC_001133|,4601,24.65
ref|NC_001133|,4701,22.74
ref|NC_001133|,4801,13.29
ref|NC_001133|,4901,20.31
ref|NC_001133|,5001,17.8
ref|NC_001133|,5101,16.54
ref|NC_001133|,5201,19.92
ref|NC_001133|,5301,20.87
ref|NC_001133|,5401,16.51
ref|NC_001133|,5501,17.16
ref|NC_001133|,5601,15.53
ref|NC_001133|,5701,17.46
ref|NC_001133|,5801,21.24
ref|NC_001133|,5901,21.7
ref|NC_001133|,6001,23.55
ref|NC_001133|,6101,20.26
ref|NC_001133|,6201,19.93
ref|NC_001133|,6301,16.45
ref|NC_001133|,6401,14.27
ref|NC_001133|,6501,24.13
ref|NC_001133|,6601,24.11
ref|NC_001133|,6701,16.8
ref|NC_001133|,6801,10.51
ref|NC_001133|,6901,17.74
ref|NC_001133|,7001,19.6
ref|NC_001133|,7101,15.88
ref|NC_001133|,7201,13.07
ref|NC_001133|,7301,16.91
ref|NC_001133|,7401,16.33
ref|NC_001133|,7501,12.68
ref|NC_001133|,7601,20.17
ref|NC_001133|,7701,16.92
ref|NC_001133|,7801,20.64
ref|NC_001133|,7901,25.2799999999999
ref|NC_001133|,8001,13.56
ref|NC_001133|,8101,13.61
ref|NC_001133|,8201,19.89
ref|NC_001133|,8301,26.32
ref|NC_001133|,8401,21.36
ref|NC_001133|,8501,19.46
ref|NC_001133|,8601,17.48
ref|NC_001133|,8701,18.1
ref|NC_001133|,8801,18.02
ref|NC_001133|,8901,15.61
ref|NC_001133|,9001,12.94
ref|NC_001133|,9101,15.75
ref|NC_001133|,9201,13.59
ref|NC_001133|,9301,10.26
ref|NC_001133|,9401,11.09
ref|NC_001133|,9501,20.39
ref|NC_001133|,9601,25.47
ref|NC_001133|,9701,25.38
ref|NC_001133|,9801,23.82
ref|NC_001133|,9901,19.12
ref|NC_001133|,10001,18.34
ref|NC_001133|,10101,20.44
ref|NC_001133|,10201,13.93
ref|NC_001133|,10301,14.81
ref|NC_001133|,10401,22.44
ref|NC_001133|,10501,20.85
ref|NC_001133|,10601,18.51
ref|NC_001133|,10701,15.18
ref|NC_001133|,10801,13.14
ref|NC_001133|,10901,15.34
ref|NC_001133|,11001,17.34
ref|NC_001133|,11101,19.63
ref|NC_001133|,11201,17.09
ref|NC_001133|,11301,17.87
ref|NC_001133|,11401,19.01
ref|NC_001133|,11501,20.71
ref|NC_001133|,11601,16.27
ref|NC_001133|,11701,15.27
ref|NC_001133|,11801,22.28
ref|NC_001133|,11901,23.29
ref|NC_001133|,12001,20.23
ref|NC_001133|,12101,20.64
ref|NC_001133|,12201,22.69
ref|NC_001133|,12301,26.47
ref|NC_001133|,12401,15.47
ref|NC_001133|,12501,22.6
ref|NC_001133|,12601,32.2
ref|NC_001133|,12701,59.42
ref|NC_001133|,12801,51.61
ref|NC_001133|,12901,29.25
ref|NC_001133|,13001,27.41
ref|NC_001133|,13101,28.23
ref|NC_001133|,13201,25.62
ref|NC_001133|,13301,21.57
ref|NC_001133|,13401,23.81
ref|NC_001133|,13501,34.84
ref|NC_001133|,13601,31.1
ref|NC_001133|,13701,24.84
ref|NC_001133|,13801,18.72
ref|NC_001133|,13901,22.95
ref|NC_001133|,14001,22.48
ref|NC_001133|,14101,19.16
ref|NC_001133|,14201,31.31
ref|NC_001133|,14301,30.55
ref|NC_001133|,14401,28.05
ref|NC_001133|,14501,32.3
ref|NC_001133|,14601,43.59
ref|NC_001133|,14701,49.59
ref|NC_001133|,14801,40.18
ref|NC_001133|,14901,35.89
ref|NC_001133|,15001,35.86
ref|NC_001133|,15101,43.23
ref|NC_001133|,15201,44.37
ref|NC_001133|,15301,38.46
ref|NC_001133|,15401,33.5
ref|NC_001133|,15501,30.89
ref|NC_001133|,15601,31.64
ref|NC_001133|,15701,34.64
ref|NC_001133|,15801,32.41
ref|NC_001133|,15901,41.77
ref|NC_001133|,16001,41.16
ref|NC_001133|,16101,30.64
ref|NC_001133|,16201,28.6
ref|NC_001133|,16301,37.65
ref|NC_001133|,16401,42.46
ref|NC_001133|,16501,36.69
ref|NC_001133|,16601,31.93
ref|NC_001133|,16701,28.84
ref|NC_001133|,16801,30.25
ref|NC_001133|,16901,23.06
ref|NC_001133|,17001,18.55
ref|NC_001133|,17101,15.49
ref|NC_001133|,17201,17.78
