strain,conc,metal,machine,plate,wells,batch
znbm_23,zn,CO,BIO1,left,Well 101,BIO1_5_20220309
cdbm_47,cd,CO,BIO1,left,Well 102,BIO1_5_20220309
mnbm_23,mn,CO,BIO1,left,Well 103,BIO1_5_20220309
mnbm_20,mn,CO,BIO1,left,Well 104,BIO1_5_20220309
cubm_12,cu,CO,BIO1,left,Well 105,BIO1_5_20220309
nibm_16,ni,CO,BIO1,left,Well 106,BIO1_5_20220309
cdbm_23,cd,CO,BIO1,left,Well 107,BIO1_5_20220309
nibm_4,ni,CO,BIO1,left,Well 108,BIO1_5_20220309
znbm_17,zn,CO,BIO1,left,Well 109,BIO1_5_20220309
znbm_12,zn,CO,BIO1,left,Well 110,BIO1_5_20220309
znbm_46,zn,CO,BIO1,left,Well 111,BIO1_5_20220309
cdbm_30,cd,CO,BIO1,left,Well 112,BIO1_5_20220309
nibm_30,ni,CO,BIO1,left,Well 113,BIO1_5_20220309
cobm_4,co,CO,BIO1,left,Well 114,BIO1_5_20220309
OLY077,YPAD,CO,BIO1,left,Well 115,BIO1_5_20220309
mnbm_29,mn,CO,BIO1,left,Well 116,BIO1_5_20220309
mnbm_34,mn,CO,BIO1,left,Well 117,BIO1_5_20220309
cdbm_29,cd,CO,BIO1,left,Well 118,BIO1_5_20220309
cdbm_40,cd,CO,BIO1,left,Well 119,BIO1_5_20220309
cobm_5,co,CO,BIO1,left,Well 120,BIO1_5_20220309
cubm_17,cu,CO,BIO1,left,Well 121,BIO1_5_20220309
mnbm_14,mn,CO,BIO1,left,Well 122,BIO1_5_20220309
nibm_11,ni,CO,BIO1,left,Well 123,BIO1_5_20220309
blank,NA,CO,BIO1,left,Well 124,BIO1_5_20220309
cubm_10,cu,CO,BIO1,left,Well 125,BIO1_5_20220309
mnbm_28,mn,CO,BIO1,left,Well 126,BIO1_5_20220309
cdbm_25,cd,CO,BIO1,left,Well 127,BIO1_5_20220309
mnbm_17,mn,CO,BIO1,left,Well 128,BIO1_5_20220309
nibm_12,ni,CO,BIO1,left,Well 129,BIO1_5_20220309
cobm_15,co,CO,BIO1,left,Well 130,BIO1_5_20220309
cubm_7,cu,CO,BIO1,left,Well 131,BIO1_5_20220309
cdbm_43,cd,CO,BIO1,left,Well 132,BIO1_5_20220309
nibm_27,ni,CO,BIO1,left,Well 133,BIO1_5_20220309
nibm_4,ni,CO,BIO1,left,Well 134,BIO1_5_20220309
cubm_10,cu,CO,BIO1,left,Well 135,BIO1_5_20220309
cdbm_30,cd,CO,BIO1,left,Well 136,BIO1_5_20220309
cubm_3,cu,CO,BIO1,left,Well 137,BIO1_5_20220309
cobm_3,co,CO,BIO1,left,Well 138,BIO1_5_20220309
znbm_8,zn,CO,BIO1,left,Well 139,BIO1_5_20220309
znbm_28,zn,CO,BIO1,left,Well 140,BIO1_5_20220309
nibm_12,ni,CO,BIO1,left,Well 141,BIO1_5_20220309
znbm_41,zn,CO,BIO1,left,Well 142,BIO1_5_20220309
nibm_12,ni,CO,BIO1,left,Well 143,BIO1_5_20220309
znbm_16,zn,CO,BIO1,left,Well 144,BIO1_5_20220309
mnbm_32,mn,CO,BIO1,left,Well 145,BIO1_5_20220309
znbm_29,zn,CO,BIO1,left,Well 146,BIO1_5_20220309
mnbm_34,mn,CO,BIO1,left,Well 147,BIO1_5_20220309
cdbm_46,cd,CO,BIO1,left,Well 148,BIO1_5_20220309
mnbm_25,mn,CO,BIO1,left,Well 149,BIO1_5_20220309
znbm_6,zn,CO,BIO1,left,Well 150,BIO1_5_20220309
nibm_8,ni,CO,BIO1,left,Well 151,BIO1_5_20220309
cobm_12,co,CO,BIO1,left,Well 152,BIO1_5_20220309
nibm_24,ni,CO,BIO1,left,Well 153,BIO1_5_20220309
cubm_3,cu,CO,BIO1,left,Well 154,BIO1_5_20220309
znbm_15,zn,CO,BIO1,left,Well 155,BIO1_5_20220309
cobm_17,co,CO,BIO1,left,Well 156,BIO1_5_20220309
znbm_22,zn,CO,BIO1,left,Well 157,BIO1_5_20220309
cubm_18,cu,CO,BIO1,left,Well 158,BIO1_5_20220309
znbm_9,zn,CO,BIO1,left,Well 159,BIO1_5_20220309
znbm_5,zn,CO,BIO1,left,Well 160,BIO1_5_20220309
cubm_18,cu,CO,BIO1,left,Well 161,BIO1_5_20220309
cobm_7,co,CO,BIO1,left,Well 162,BIO1_5_20220309
nibm_27,ni,CO,BIO1,left,Well 163,BIO1_5_20220309
cdbm_23,cd,CO,BIO1,left,Well 164,BIO1_5_20220309
znbm_6,zn,CO,BIO1,left,Well 165,BIO1_5_20220309
mnbm_29,mn,CO,BIO1,left,Well 166,BIO1_5_20220309
