strain,conc,metal,machine,plate,wells,batch
znbm_25,zn,ZN,BIO1,left,Well 101,BIO1_1_20220228
nibm_4,ni,ZN,BIO1,left,Well 102,BIO1_1_20220228
znbm_11,zn,ZN,BIO1,left,Well 103,BIO1_1_20220228
znbm_11,zn,ZN,BIO1,left,Well 104,BIO1_1_20220228
nibm_24,ni,ZN,BIO1,left,Well 105,BIO1_1_20220228
cobm_8,co,ZN,BIO1,left,Well 106,BIO1_1_20220228
mnbm_34,mn,ZN,BIO1,left,Well 107,BIO1_1_20220228
znbm_45,zn,ZN,BIO1,left,Well 108,BIO1_1_20220228
mnbm_25,mn,ZN,BIO1,left,Well 109,BIO1_1_20220228
znbm_47,zn,ZN,BIO1,left,Well 110,BIO1_1_20220228
znbm_44,zn,ZN,BIO1,left,Well 111,BIO1_1_20220228
znbm_46,zn,ZN,BIO1,left,Well 112,BIO1_1_20220228
znbm_37,zn,ZN,BIO1,left,Well 113,BIO1_1_20220228
cdbm_25,cd,ZN,BIO1,left,Well 114,BIO1_1_20220228
mnbm_23,mn,ZN,BIO1,left,Well 115,BIO1_1_20220228
cdbm_29,cd,ZN,BIO1,left,Well 116,BIO1_1_20220228
nibm_12,ni,ZN,BIO1,left,Well 117,BIO1_1_20220228
cubm_15,cu,ZN,BIO1,left,Well 118,BIO1_1_20220228
cubm_10,cu,ZN,BIO1,left,Well 119,BIO1_1_20220228
cubm_12,cu,ZN,BIO1,left,Well 120,BIO1_1_20220228
znbm_37,zn,ZN,BIO1,left,Well 121,BIO1_1_20220228
znbm_44,zn,ZN,BIO1,left,Well 122,BIO1_1_20220228
cubm_11,cu,ZN,BIO1,left,Well 123,BIO1_1_20220228
mnbm_17,mn,ZN,BIO1,left,Well 124,BIO1_1_20220228
nibm_21,ni,ZN,BIO1,left,Well 125,BIO1_1_20220228
mnbm_13,mn,ZN,BIO1,left,Well 126,BIO1_1_20220228
cdbm_29,cd,ZN,BIO1,left,Well 127,BIO1_1_20220228
znbm_47,zn,ZN,BIO1,left,Well 128,BIO1_1_20220228
mnbm_15,mn,ZN,BIO1,left,Well 129,BIO1_1_20220228
cobm_17,co,ZN,BIO1,left,Well 130,BIO1_1_20220228
cubm_7,cu,ZN,BIO1,left,Well 131,BIO1_1_20220228
cdbm_40,cd,ZN,BIO1,left,Well 132,BIO1_1_20220228
znbm_28,zn,ZN,BIO1,left,Well 133,BIO1_1_20220228
znbm_31,zn,ZN,BIO1,left,Well 134,BIO1_1_20220228
nibm_9,ni,ZN,BIO1,left,Well 135,BIO1_1_20220228
OLY077,YPAD,ZN,BIO1,left,Well 136,BIO1_1_20220228
cdbm_30,cd,ZN,BIO1,left,Well 137,BIO1_1_20220228
znbm_23,zn,ZN,BIO1,left,Well 138,BIO1_1_20220228
nibm_29,ni,ZN,BIO1,left,Well 139,BIO1_1_20220228
mnbm_31,mn,ZN,BIO1,left,Well 140,BIO1_1_20220228
mnbm_13,mn,ZN,BIO1,left,Well 141,BIO1_1_20220228
cdbm_36,cd,ZN,BIO1,left,Well 142,BIO1_1_20220228
cdbm_36,cd,ZN,BIO1,left,Well 143,BIO1_1_20220228
cobm_21,co,ZN,BIO1,left,Well 144,BIO1_1_20220228
znbm_7,zn,ZN,BIO1,left,Well 145,BIO1_1_20220228
znbm_22,zn,ZN,BIO1,left,Well 146,BIO1_1_20220228
ypadOLY077,YPAD,YPAD,BIO1,left,Well 147,BIO1_1_20220228
cobm_1,co,ZN,BIO1,left,Well 148,BIO1_1_20220228
cobm_15,co,ZN,BIO1,left,Well 149,BIO1_1_20220228
znbm_34,zn,ZN,BIO1,left,Well 150,BIO1_1_20220228
blank,NA,ZN,BIO1,left,Well 151,BIO1_1_20220228
mnbm_42,mn,ZN,BIO1,left,Well 152,BIO1_1_20220228
nibm_17,ni,ZN,BIO1,left,Well 153,BIO1_1_20220228
znbm_25,zn,ZN,BIO1,left,Well 154,BIO1_1_20220228
znbm_19,zn,ZN,BIO1,left,Well 155,BIO1_1_20220228
cdbm_43,cd,ZN,BIO1,left,Well 156,BIO1_1_20220228
cubm_17,cu,ZN,BIO1,left,Well 157,BIO1_1_20220228
cdbm_26,cd,ZN,BIO1,left,Well 158,BIO1_1_20220228
cubm_7,cu,ZN,BIO1,left,Well 159,BIO1_1_20220228
cdbm_22,cd,ZN,BIO1,left,Well 160,BIO1_1_20220228
cubm_10,cu,ZN,BIO1,left,Well 161,BIO1_1_20220228
znbm_39,zn,ZN,BIO1,left,Well 162,BIO1_1_20220228
znbm_45,zn,ZN,BIO1,left,Well 163,BIO1_1_20220228
mnbm_14,mn,ZN,BIO1,left,Well 164,BIO1_1_20220228
cdbm_30,cd,ZN,BIO1,left,Well 165,BIO1_1_20220228
cubm_9,cu,ZN,BIO1,left,Well 166,BIO1_1_20220228
znbm_16,zn,ZN,BIO1,left,Well 167,BIO1_1_20220228
znbm_47,zn,ZN,BIO1,left,Well 168,BIO1_1_20220228
znbm_12,zn,ZN,BIO1,left,Well 169,BIO1_1_20220228
nibm_6,ni,ZN,BIO1,left,Well 170,BIO1_1_20220228
cobm_7,co,ZN,BIO1,left,Well 171,BIO1_1_20220228
cubm_15,cu,ZN,BIO1,left,Well 172,BIO1_1_20220228
nibm_29,ni,ZN,BIO1,left,Well 173,BIO1_1_20220228
cobm_14,co,ZN,BIO1,left,Well 174,BIO1_1_20220228
nibm_8,ni,ZN,BIO1,left,Well 175,BIO1_1_20220228
nibm_27,ni,ZN,BIO1,left,Well 176,BIO1_1_20220228
znbm_19,zn,ZN,BIO1,left,Well 177,BIO1_1_20220228
cdbm_48,cd,ZN,BIO1,left,Well 178,BIO1_1_20220228
nibm_6,ni,ZN,BIO1,left,Well 179,BIO1_1_20220228
mnbm_24,mn,ZN,BIO1,left,Well 180,BIO1_1_20220228
cdbm_30,cd,ZN,BIO1,left,Well 181,BIO1_1_20220228
ypadOLY077,YPAD,YPAD,BIO1,left,Well 182,BIO1_1_20220228
blank,NA,ZN,BIO1,left,Well 183,BIO1_1_20220228
cdbm_48,cd,ZN,BIO1,left,Well 184,BIO1_1_20220228
cobm_2,co,ZN,BIO1,left,Well 185,BIO1_1_20220228
mnbm_21,mn,ZN,BIO1,left,Well 186,BIO1_1_20220228
cubm_13,cu,ZN,BIO1,left,Well 187,BIO1_1_20220228
nibm_30,ni,ZN,BIO1,left,Well 188,BIO1_1_20220228
cdbm_48,cd,ZN,BIO1,left,Well 189,BIO1_1_20220228
znbm_16,zn,ZN,BIO1,left,Well 190,BIO1_1_20220228
cobm_18,co,ZN,BIO1,left,Well 191,BIO1_1_20220228
mnbm_15,mn,ZN,BIO1,left,Well 192,BIO1_1_20220228
mnbm_15,mn,ZN,BIO1,left,Well 193,BIO1_1_20220228
mnbm_42,mn,ZN,BIO1,left,Well 194,BIO1_1_20220228
mnbm_34,mn,ZN,BIO1,left,Well 195,BIO1_1_20220228
cobm_2,co,ZN,BIO1,left,Well 196,BIO1_1_20220228
znbm_28,zn,ZN,BIO1,left,Well 197,BIO1_1_20220228
cdbm_36,cd,ZN,BIO1,left,Well 198,BIO1_1_20220228
cubm_3,cu,ZN,BIO1,left,Well 199,BIO1_1_20220228
ypadOLY077,YPAD,YPAD,BIO1,left,Well 200,BIO1_1_20220228
cobm_1,co,NI,BIO1,right,Well 201,BIO1_1_20220228
znbm_9,zn,NI,BIO1,right,Well 202,BIO1_1_20220228
cubm_7,cu,NI,BIO1,right,Well 203,BIO1_1_20220228
mnbm_12,mn,NI,BIO1,right,Well 204,BIO1_1_20220228
nibm_25,ni,NI,BIO1,right,Well 205,BIO1_1_20220228
mnbm_16,mn,NI,BIO1,right,Well 206,BIO1_1_20220228
cubm_11,cu,NI,BIO1,right,Well 207,BIO1_1_20220228
cobm_8,co,NI,BIO1,right,Well 208,BIO1_1_20220228
mnbm_32,mn,NI,BIO1,right,Well 209,BIO1_1_20220228
nibm_30,ni,NI,BIO1,right,Well 210,BIO1_1_20220228
znbm_17,zn,NI,BIO1,right,Well 211,BIO1_1_20220228
nibm_6,ni,NI,BIO1,right,Well 212,BIO1_1_20220228
znbm_47,zn,NI,BIO1,right,Well 213,BIO1_1_20220228
mnbm_24,mn,NI,BIO1,right,Well 214,BIO1_1_20220228
cubm_18,cu,NI,BIO1,right,Well 215,BIO1_1_20220228
cdbm_44,cd,NI,BIO1,right,Well 216,BIO1_1_20220228
cobm_12,co,NI,BIO1,right,Well 217,BIO1_1_20220228
nibm_24,ni,NI,BIO1,right,Well 218,BIO1_1_20220228
mnbm_17,mn,NI,BIO1,right,Well 219,BIO1_1_20220228
mnbm_12,mn,NI,BIO1,right,Well 220,BIO1_1_20220228
