strain,conc,metal,machine,plate,wells,batch
cdbm_23,cd,CD,BIO2,left,Well 101,BIO2_3_20220304
cdbm_37,cd,CD,BIO2,left,Well 102,BIO2_3_20220304
nibm_11,ni,CD,BIO2,left,Well 103,BIO2_3_20220304
cdbm_48,cd,CD,BIO2,left,Well 104,BIO2_3_20220304
ypadOLY077,YPAD,YPAD,BIO2,left,Well 105,BIO2_3_20220304
znbm_12,zn,CD,BIO2,left,Well 106,BIO2_3_20220304
znbm_7,zn,CD,BIO2,left,Well 107,BIO2_3_20220304
cdbm_25,cd,CD,BIO2,left,Well 108,BIO2_3_20220304
znbm_39,zn,CD,BIO2,left,Well 109,BIO2_3_20220304
nibm_4,ni,CD,BIO2,left,Well 110,BIO2_3_20220304
znbm_46,zn,CD,BIO2,left,Well 111,BIO2_3_20220304
znbm_43,zn,CD,BIO2,left,Well 112,BIO2_3_20220304
mnbm_25,mn,CD,BIO2,left,Well 113,BIO2_3_20220304
znbm_17,zn,CD,BIO2,left,Well 114,BIO2_3_20220304
znbm_19,zn,CD,BIO2,left,Well 115,BIO2_3_20220304
cdbm_44,cd,CD,BIO2,left,Well 116,BIO2_3_20220304
cdbm_23,cd,CD,BIO2,left,Well 117,BIO2_3_20220304
OLY077,YPAD,CD,BIO2,left,Well 118,BIO2_3_20220304
cobm_17,co,CD,BIO2,left,Well 119,BIO2_3_20220304
cubm_18,cu,CD,BIO2,left,Well 120,BIO2_3_20220304
znbm_25,zn,CD,BIO2,left,Well 121,BIO2_3_20220304
cobm_7,co,CD,BIO2,left,Well 122,BIO2_3_20220304
cubm_11,cu,CD,BIO2,left,Well 123,BIO2_3_20220304
nibm_16,ni,CD,BIO2,left,Well 124,BIO2_3_20220304
mnbm_34,mn,CD,BIO2,left,Well 125,BIO2_3_20220304
nibm_11,ni,CD,BIO2,left,Well 126,BIO2_3_20220304
znbm_42,zn,CD,BIO2,left,Well 127,BIO2_3_20220304
cdbm_37,cd,CD,BIO2,left,Well 128,BIO2_3_20220304
znbm_41,zn,CD,BIO2,left,Well 129,BIO2_3_20220304
cubm_7,cu,CD,BIO2,left,Well 130,BIO2_3_20220304
cobm_2,co,CD,BIO2,left,Well 131,BIO2_3_20220304
cubm_13,cu,CD,BIO2,left,Well 132,BIO2_3_20220304
mnbm_38,mn,CD,BIO2,left,Well 133,BIO2_3_20220304
znbm_37,zn,CD,BIO2,left,Well 134,BIO2_3_20220304
cubm_10,cu,CD,BIO2,left,Well 135,BIO2_3_20220304
znbm_32,zn,CD,BIO2,left,Well 136,BIO2_3_20220304
znbm_45,zn,CD,BIO2,left,Well 137,BIO2_3_20220304
cdbm_36,cd,CD,BIO2,left,Well 138,BIO2_3_20220304
mnbm_38,mn,CD,BIO2,left,Well 139,BIO2_3_20220304
znbm_28,zn,CD,BIO2,left,Well 140,BIO2_3_20220304
cobm_12,co,CD,BIO2,left,Well 141,BIO2_3_20220304
mnbm_15,mn,CD,BIO2,left,Well 142,BIO2_3_20220304
znbm_15,zn,CD,BIO2,left,Well 143,BIO2_3_20220304
mnbm_29,mn,CD,BIO2,left,Well 144,BIO2_3_20220304
cdbm_26,cd,CD,BIO2,left,Well 145,BIO2_3_20220304
blank,NA,CD,BIO2,left,Well 146,BIO2_3_20220304
cubm_9,cu,CD,BIO2,left,Well 147,BIO2_3_20220304
mnbm_20,mn,CD,BIO2,left,Well 148,BIO2_3_20220304
mnbm_17,mn,CD,BIO2,left,Well 149,BIO2_3_20220304
mnbm_42,mn,CD,BIO2,left,Well 150,BIO2_3_20220304
cdbm_23,cd,CD,BIO2,left,Well 151,BIO2_3_20220304
