strain,conc,metal,machine,plate,wells,batch
znbm_46,zn,YPAD,BIO1,left,Well 101,BIO1_9_202203018
znbm_42,zn,YPAD,BIO1,left,Well 102,BIO1_9_202203018
ypadOLY077,YPAD,YPAD,BIO1,left,Well 103,BIO1_9_202203018
cobm_20,co,YPAD,BIO1,left,Well 104,BIO1_9_202203018
nibm_16,ni,YPAD,BIO1,left,Well 105,BIO1_9_202203018
cobm_5,co,YPAD,BIO1,left,Well 106,BIO1_9_202203018
cobm_8,co,YPAD,BIO1,left,Well 107,BIO1_9_202203018
znbm_25,zn,YPAD,BIO1,left,Well 108,BIO1_9_202203018
nibm_11,ni,YPAD,BIO1,left,Well 109,BIO1_9_202203018
mnbm_32,mn,YPAD,BIO1,left,Well 110,BIO1_9_202203018
nibm_24,ni,YPAD,BIO1,left,Well 111,BIO1_9_202203018
mnbm_16,mn,YPAD,BIO1,left,Well 112,BIO1_9_202203018
znbm_23,zn,YPAD,BIO1,left,Well 113,BIO1_9_202203018
blank,NA,YPAD,BIO1,left,Well 114,BIO1_9_202203018
znbm_19,zn,YPAD,BIO1,left,Well 115,BIO1_9_202203018
ypadOLY077,YPAD,YPAD,BIO1,left,Well 116,BIO1_9_202203018
znbm_37,zn,YPAD,BIO1,left,Well 117,BIO1_9_202203018
mnbm_16,mn,YPAD,BIO1,left,Well 118,BIO1_9_202203018
cdbm_22,cd,YPAD,BIO1,left,Well 119,BIO1_9_202203018
mnbm_25,mn,YPAD,BIO1,left,Well 120,BIO1_9_202203018
cubm_10,cu,YPAD,BIO1,left,Well 121,BIO1_9_202203018
znbm_28,zn,YPAD,BIO1,left,Well 122,BIO1_9_202203018
cdbm_42,cd,YPAD,BIO1,left,Well 123,BIO1_9_202203018
znbm_12,zn,YPAD,BIO1,left,Well 124,BIO1_9_202203018
cdbm_26,cd,YPAD,BIO1,left,Well 125,BIO1_9_202203018
ypadOLY077,YPAD,YPAD,BIO1,left,Well 126,BIO1_9_202203018
mnbm_44,mn,YPAD,BIO1,left,Well 127,BIO1_9_202203018
cubm_16,cu,YPAD,BIO1,left,Well 128,BIO1_9_202203018
cdbm_32,cd,YPAD,BIO1,left,Well 129,BIO1_9_202203018
mnbm_24,mn,YPAD,BIO1,left,Well 130,BIO1_9_202203018
mnbm_21,mn,YPAD,BIO1,left,Well 131,BIO1_9_202203018
cobm_5,co,YPAD,BIO1,left,Well 132,BIO1_9_202203018
znbm_5,zn,YPAD,BIO1,left,Well 133,BIO1_9_202203018
cdbm_43,cd,YPAD,BIO1,left,Well 134,BIO1_9_202203018
cobm_7,co,YPAD,BIO1,left,Well 135,BIO1_9_202203018
cobm_20,co,YPAD,BIO1,left,Well 136,BIO1_9_202203018
cdbm_44,cd,YPAD,BIO1,left,Well 137,BIO1_9_202203018
mnbm_15,mn,YPAD,BIO1,left,Well 138,BIO1_9_202203018
ypadOLY077,YPAD,YPAD,BIO1,left,Well 139,BIO1_9_202203018
cubm_7,cu,YPAD,BIO1,left,Well 140,BIO1_9_202203018
mnbm_39,mn,YPAD,BIO1,left,Well 141,BIO1_9_202203018
cdbm_22,cd,YPAD,BIO1,left,Well 142,BIO1_9_202203018
znbm_5,zn,YPAD,BIO1,left,Well 143,BIO1_9_202203018
cubm_14,cu,YPAD,BIO1,left,Well 144,BIO1_9_202203018
znbm_15,zn,YPAD,BIO1,left,Well 145,BIO1_9_202203018
nibm_21,ni,YPAD,BIO1,left,Well 146,BIO1_9_202203018
mnbm_44,mn,YPAD,BIO1,left,Well 147,BIO1_9_202203018
cobm_18,co,YPAD,BIO1,left,Well 148,BIO1_9_202203018
znbm_46,zn,YPAD,BIO1,left,Well 149,BIO1_9_202203018
OLY077,NA,YPAD,BIO1,left,Well 150,BIO1_9_202203018
cobm_5,co,YPAD,BIO1,left,Well 151,BIO1_9_202203018
cubm_4,cu,YPAD,BIO1,left,Well 152,BIO1_9_202203018
cdbm_43,cd,YPAD,BIO1,left,Well 153,BIO1_9_202203018
nibm_29,ni,YPAD,BIO1,left,Well 154,BIO1_9_202203018
cobm_17,co,YPAD,BIO1,left,Well 155,BIO1_9_202203018
cdbm_30,cd,YPAD,BIO1,left,Well 156,BIO1_9_202203018
cdbm_42,cd,YPAD,BIO1,left,Well 157,BIO1_9_202203018
mnbm_14,mn,YPAD,BIO1,left,Well 158,BIO1_9_202203018
mnbm_20,mn,YPAD,BIO1,left,Well 159,BIO1_9_202203018
mnbm_27,mn,YPAD,BIO1,left,Well 160,BIO1_9_202203018
cdbm_23,cd,YPAD,BIO1,left,Well 161,BIO1_9_202203018
cobm_15,co,YPAD,BIO1,left,Well 162,BIO1_9_202203018
znbm_45,zn,YPAD,BIO1,left,Well 163,BIO1_9_202203018
nibm_9,ni,YPAD,BIO1,left,Well 164,BIO1_9_202203018
mnbm_28,mn,YPAD,BIO1,left,Well 165,BIO1_9_202203018
mnbm_29,mn,YPAD,BIO1,left,Well 166,BIO1_9_202203018
cubm_11,cu,YPAD,BIO1,left,Well 167,BIO1_9_202203018
znbm_42,zn,YPAD,BIO1,left,Well 168,BIO1_9_202203018
cdbm_36,cd,YPAD,BIO1,left,Well 169,BIO1_9_202203018
znbm_22,zn,YPAD,BIO1,left,Well 170,BIO1_9_202203018
znbm_46,zn,YPAD,BIO1,left,Well 171,BIO1_9_202203018
nibm_25,ni,YPAD,BIO1,left,Well 172,BIO1_9_202203018
cobm_8,co,YPAD,BIO1,left,Well 173,BIO1_9_202203018
cubm_17,cu,YPAD,BIO1,left,Well 174,BIO1_9_202203018
znbm_44,zn,YPAD,BIO1,left,Well 175,BIO1_9_202203018
cobm_18,co,YPAD,BIO1,left,Well 176,BIO1_9_202203018
cdbm_31,cd,YPAD,BIO1,left,Well 177,BIO1_9_202203018
cobm_15,co,YPAD,BIO1,left,Well 178,BIO1_9_202203018
cobm_4,co,YPAD,BIO1,left,Well 179,BIO1_9_202203018
nibm_11,ni,YPAD,BIO1,left,Well 180,BIO1_9_202203018
blank,NA,YPAD,BIO1,left,Well 181,BIO1_9_202203018
znbm_5,zn,YPAD,BIO1,left,Well 182,BIO1_9_202203018
cdbm_39,cd,YPAD,BIO1,left,Well 183,BIO1_9_202203018
cdbm_25,cd,YPAD,BIO1,left,Well 184,BIO1_9_202203018
znbm_28,zn,YPAD,BIO1,left,Well 185,BIO1_9_202203018
nibm_6,ni,YPAD,BIO1,left,Well 186,BIO1_9_202203018
cdbm_28,cd,YPAD,BIO1,left,Well 187,BIO1_9_202203018
cdbm_46,cd,YPAD,BIO1,left,Well 188,BIO1_9_202203018
cobm_7,co,YPAD,BIO1,left,Well 189,BIO1_9_202203018
nibm_22,ni,YPAD,BIO1,left,Well 190,BIO1_9_202203018
znbm_22,zn,YPAD,BIO1,left,Well 191,BIO1_9_202203018
znbm_9,zn,YPAD,BIO1,left,Well 192,BIO1_9_202203018
cubm_17,cu,YPAD,BIO1,left,Well 193,BIO1_9_202203018
cubm_14,cu,YPAD,BIO1,left,Well 194,BIO1_9_202203018
cdbm_48,cd,YPAD,BIO1,left,Well 195,BIO1_9_202203018
cdbm_44,cd,YPAD,BIO1,left,Well 196,BIO1_9_202203018
cubm_7,cu,YPAD,BIO1,left,Well 197,BIO1_9_202203018
mnbm_16,mn,YPAD,BIO1,left,Well 198,BIO1_9_202203018
mnbm_18,mn,YPAD,BIO1,left,Well 199,BIO1_9_202203018
znbm_45,zn,YPAD,BIO1,left,Well 200,BIO1_9_202203018
cubm_9,cu,MN,BIO2,right,Well 201,BIO2_9_20220318
nibm_21,ni,MN,BIO2,right,Well 202,BIO2_9_20220318
cobm_8,co,MN,BIO2,right,Well 203,BIO2_9_20220318
mnbm_42,mn,MN,BIO2,right,Well 204,BIO2_9_20220318
cubm_6,cu,MN,BIO2,right,Well 205,BIO2_9_20220318
znbm_47,zn,MN,BIO2,right,Well 206,BIO2_9_20220318
mnbm_32,mn,MN,BIO2,right,Well 207,BIO2_9_20220318
cdbm_26,cd,MN,BIO2,right,Well 208,BIO2_9_20220318
znbm_15,zn,MN,BIO2,right,Well 209,BIO2_9_20220318
cdbm_23,cd,MN,BIO2,right,Well 210,BIO2_9_20220318
cdbm_26,cd,MN,BIO2,right,Well 211,BIO2_9_20220318
cobm_4,co,MN,BIO2,right,Well 212,BIO2_9_20220318
cdbm_40,cd,MN,BIO2,right,Well 213,BIO2_9_20220318
mnbm_27,mn,MN,BIO2,right,Well 214,BIO2_9_20220318
nibm_17,ni,MN,BIO2,right,Well 215,BIO2_9_20220318
mnbm_14,mn,MN,BIO2,right,Well 216,BIO2_9_20220318
nibm_29,ni,MN,BIO2,right,Well 217,BIO2_9_20220318
nibm_21,ni,MN,BIO2,right,Well 218,BIO2_9_20220318
znbm_17,zn,MN,BIO2,right,Well 219,BIO2_9_20220318
cdbm_40,cd,MN,BIO2,right,Well 220,BIO2_9_20220318
znbm_6,zn,MN,BIO2,right,Well 221,BIO2_9_20220318
cubm_8,cu,MN,BIO2,right,Well 222,BIO2_9_20220318
znbm_28,zn,MN,BIO2,right,Well 223,BIO2_9_20220318
mnbm_29,mn,MN,BIO2,right,Well 224,BIO2_9_20220318
cdbm_25,cd,MN,BIO2,right,Well 225,BIO2_9_20220318
znbm_8,zn,MN,BIO2,right,Well 226,BIO2_9_20220318
cdbm_48,cd,MN,BIO2,right,Well 227,BIO2_9_20220318
mnbm_14,mn,MN,BIO2,right,Well 228,BIO2_9_20220318
cubm_12,cu,MN,BIO2,right,Well 229,BIO2_9_20220318
blank,NA,MN,BIO2,right,Well 230,BIO2_9_20220318
znbm_37,zn,MN,BIO2,right,Well 231,BIO2_9_20220318
znbm_47,zn,MN,BIO2,right,Well 232,BIO2_9_20220318
cdbm_31,cd,MN,BIO2,right,Well 233,BIO2_9_20220318
znbm_16,zn,MN,BIO2,right,Well 234,BIO2_9_20220318
cdbm_42,cd,MN,BIO2,right,Well 235,BIO2_9_20220318
znbm_31,zn,MN,BIO2,right,Well 236,BIO2_9_20220318
mnbm_23,mn,MN,BIO2,right,Well 237,BIO2_9_20220318
cdbm_28,cd,MN,BIO2,right,Well 238,BIO2_9_20220318
cdbm_22,cd,MN,BIO2,right,Well 239,BIO2_9_20220318
cobm_4,co,MN,BIO2,right,Well 240,BIO2_9_20220318
znbm_38,zn,MN,BIO2,right,Well 241,BIO2_9_20220318
ypadOLY077,YPAD,YPAD,BIO2,right,Well 242,BIO2_9_20220318
cobm_20,co,MN,BIO2,right,Well 243,BIO2_9_20220318
znbm_11,zn,MN,BIO2,right,Well 244,BIO2_9_20220318
znbm_22,zn,MN,BIO2,right,Well 245,BIO2_9_20220318
cdbm_21,cd,MN,BIO2,right,Well 246,BIO2_9_20220318
cdbm_37,cd,MN,BIO2,right,Well 247,BIO2_9_20220318
cubm_9,cu,MN,BIO2,right,Well 248,BIO2_9_20220318
cobm_1,co,MN,BIO2,right,Well 249,BIO2_9_20220318
ypadOLY077,YPAD,YPAD,BIO2,right,Well 250,BIO2_9_20220318
znbm_32,zn,MN,BIO2,right,Well 251,BIO2_9_20220318
znbm_42,zn,MN,BIO2,right,Well 252,BIO2_9_20220318
cobm_2,co,MN,BIO2,right,Well 253,BIO2_9_20220318
mnbm_27,mn,MN,BIO2,right,Well 254,BIO2_9_20220318
cdbm_25,cd,MN,BIO2,right,Well 255,BIO2_9_20220318
cdbm_22,cd,MN,BIO2,right,Well 256,BIO2_9_20220318
