strain,conc,metal,machine,plate,wells,batch
ypadOLY077,YPAD,YPAD,BIO1,left,Well 101,BIO1_4_20220307
cobm_5,co,CU,BIO1,left,Well 102,BIO1_4_20220307
cdbm_36,cd,CU,BIO1,left,Well 103,BIO1_4_20220307
mnbm_12,mn,CU,BIO1,left,Well 104,BIO1_4_20220307
cobm_21,co,CU,BIO1,left,Well 105,BIO1_4_20220307
znbm_38,zn,CU,BIO1,left,Well 106,BIO1_4_20220307
cubm_3,cu,CU,BIO1,left,Well 107,BIO1_4_20220307
ypadOLY077,YPAD,YPAD,BIO1,left,Well 108,BIO1_4_20220307
cdbm_25,cd,CU,BIO1,left,Well 109,BIO1_4_20220307
cdbm_47,cd,CU,BIO1,left,Well 110,BIO1_4_20220307
cobm_17,co,CU,BIO1,left,Well 111,BIO1_4_20220307
znbm_44,zn,CU,BIO1,left,Well 112,BIO1_4_20220307
cdbm_40,cd,CU,BIO1,left,Well 113,BIO1_4_20220307
znbm_19,zn,CU,BIO1,left,Well 114,BIO1_4_20220307
znbm_11,zn,CU,BIO1,left,Well 115,BIO1_4_20220307
cubm_8,cu,CU,BIO1,left,Well 116,BIO1_4_20220307
cubm_16,cu,CU,BIO1,left,Well 117,BIO1_4_20220307
mnbm_21,mn,CU,BIO1,left,Well 118,BIO1_4_20220307
znbm_44,zn,CU,BIO1,left,Well 119,BIO1_4_20220307
cobm_16,co,CU,BIO1,left,Well 120,BIO1_4_20220307
nibm_30,ni,CU,BIO1,left,Well 121,BIO1_4_20220307
cubm_4,cu,CU,BIO1,left,Well 122,BIO1_4_20220307
cobm_1,co,CU,BIO1,left,Well 123,BIO1_4_20220307
cobm_4,co,CU,BIO1,left,Well 124,BIO1_4_20220307
cdbm_28,cd,CU,BIO1,left,Well 125,BIO1_4_20220307
mnbm_17,mn,CU,BIO1,left,Well 126,BIO1_4_20220307
mnbm_27,mn,CU,BIO1,left,Well 127,BIO1_4_20220307
mnbm_34,mn,CU,BIO1,left,Well 128,BIO1_4_20220307
cobm_12,co,CU,BIO1,left,Well 129,BIO1_4_20220307
cobm_7,co,CU,BIO1,left,Well 130,BIO1_4_20220307
