strain,conc,metal,machine,plate,wells,batch
znbm_42,zn,NI,BIO2,left,Well 101,BIO2_9_20220318
mnbm_21,mn,NI,BIO2,left,Well 102,BIO2_9_20220318
nibm_24,ni,NI,BIO2,left,Well 103,BIO2_9_20220318
cubm_3,cu,NI,BIO2,left,Well 104,BIO2_9_20220318
mnbm_34,mn,NI,BIO2,left,Well 105,BIO2_9_20220318
cdbm_37,cd,NI,BIO2,left,Well 106,BIO2_9_20220318
nibm_27,ni,NI,BIO2,left,Well 107,BIO2_9_20220318
cobm_7,co,NI,BIO2,left,Well 108,BIO2_9_20220318
cobm_3,co,NI,BIO2,left,Well 109,BIO2_9_20220318
cubm_15,cu,NI,BIO2,left,Well 110,BIO2_9_20220318
mnbm_17,mn,NI,BIO2,left,Well 111,BIO2_9_20220318
cdbm_31,cd,NI,BIO2,left,Well 112,BIO2_9_20220318
cdbm_42,cd,NI,BIO2,left,Well 113,BIO2_9_20220318
znbm_38,zn,NI,BIO2,left,Well 114,BIO2_9_20220318
cdbm_22,cd,NI,BIO2,left,Well 115,BIO2_9_20220318
cobm_2,co,NI,BIO2,left,Well 116,BIO2_9_20220318
znbm_22,zn,NI,BIO2,left,Well 117,BIO2_9_20220318
nibm_9,ni,NI,BIO2,left,Well 118,BIO2_9_20220318
cubm_14,cu,NI,BIO2,left,Well 119,BIO2_9_20220318
znbm_23,zn,NI,BIO2,left,Well 120,BIO2_9_20220318
mnbm_25,mn,NI,BIO2,left,Well 121,BIO2_9_20220318
znbm_43,zn,NI,BIO2,left,Well 122,BIO2_9_20220318
znbm_37,zn,NI,BIO2,left,Well 123,BIO2_9_20220318
znbm_16,zn,NI,BIO2,left,Well 124,BIO2_9_20220318
znbm_5,zn,NI,BIO2,left,Well 125,BIO2_9_20220318
nibm_14,ni,NI,BIO2,left,Well 126,BIO2_9_20220318
cdbm_46,cd,NI,BIO2,left,Well 127,BIO2_9_20220318
cdbm_43,cd,NI,BIO2,left,Well 128,BIO2_9_20220318
cubm_11,cu,NI,BIO2,left,Well 129,BIO2_9_20220318
cobm_1,co,NI,BIO2,left,Well 130,BIO2_9_20220318
cubm_6,cu,NI,BIO2,left,Well 131,BIO2_9_20220318
cdbm_21,cd,NI,BIO2,left,Well 132,BIO2_9_20220318
cobm_6,co,NI,BIO2,left,Well 133,BIO2_9_20220318
cdbm_47,cd,NI,BIO2,left,Well 134,BIO2_9_20220318
