strain,conc,metal,machine,plate,wells,batch
cdbm_25,cd,ZN,BIO1,left,Well 101,BIO1_3_20220304
cdbm_28,cd,ZN,BIO1,left,Well 102,BIO1_3_20220304
nibm_21,ni,ZN,BIO1,left,Well 103,BIO1_3_20220304
znbm_5,zn,ZN,BIO1,left,Well 104,BIO1_3_20220304
cobm_8,co,ZN,BIO1,left,Well 105,BIO1_3_20220304
cdbm_42,cd,ZN,BIO1,left,Well 106,BIO1_3_20220304
nibm_4,ni,ZN,BIO1,left,Well 107,BIO1_3_20220304
mnbm_38,mn,ZN,BIO1,left,Well 108,BIO1_3_20220304
cubm_13,cu,ZN,BIO1,left,Well 109,BIO1_3_20220304
OLY077,YPAD,ZN,BIO1,left,Well 110,BIO1_3_20220304
nibm_27,ni,ZN,BIO1,left,Well 111,BIO1_3_20220304
cobm_16,co,ZN,BIO1,left,Well 112,BIO1_3_20220304
nibm_9,ni,ZN,BIO1,left,Well 113,BIO1_3_20220304
znbm_42,zn,ZN,BIO1,left,Well 114,BIO1_3_20220304
znbm_12,zn,ZN,BIO1,left,Well 115,BIO1_3_20220304
cdbm_45,cd,ZN,BIO1,left,Well 116,BIO1_3_20220304
znbm_11,zn,ZN,BIO1,left,Well 117,BIO1_3_20220304
znbm_9,zn,ZN,BIO1,left,Well 118,BIO1_3_20220304
mnbm_44,mn,ZN,BIO1,left,Well 119,BIO1_3_20220304
cdbm_32,cd,ZN,BIO1,left,Well 120,BIO1_3_20220304
mnbm_23,mn,ZN,BIO1,left,Well 121,BIO1_3_20220304
mnbm_39,mn,ZN,BIO1,left,Well 122,BIO1_3_20220304
cdbm_25,cd,ZN,BIO1,left,Well 123,BIO1_3_20220304
znbm_7,zn,ZN,BIO1,left,Well 124,BIO1_3_20220304
znbm_42,zn,ZN,BIO1,left,Well 125,BIO1_3_20220304
znbm_25,zn,ZN,BIO1,left,Well 126,BIO1_3_20220304
mnbm_16,mn,ZN,BIO1,left,Well 127,BIO1_3_20220304
cubm_16,cu,ZN,BIO1,left,Well 128,BIO1_3_20220304
cobm_21,co,ZN,BIO1,left,Well 129,BIO1_3_20220304
cdbm_23,cd,ZN,BIO1,left,Well 130,BIO1_3_20220304
cobm_3,co,ZN,BIO1,left,Well 131,BIO1_3_20220304
cdbm_31,cd,ZN,BIO1,left,Well 132,BIO1_3_20220304
ypadOLY077,YPAD,YPAD,BIO1,left,Well 133,BIO1_3_20220304
mnbm_18,mn,ZN,BIO1,left,Well 134,BIO1_3_20220304
mnbm_32,mn,ZN,BIO1,left,Well 135,BIO1_3_20220304
blank,NA,ZN,BIO1,left,Well 136,BIO1_3_20220304
nibm_11,ni,ZN,BIO1,left,Well 137,BIO1_3_20220304
nibm_29,ni,ZN,BIO1,left,Well 138,BIO1_3_20220304
cdbm_46,cd,ZN,BIO1,left,Well 139,BIO1_3_20220304
mnbm_12,mn,ZN,BIO1,left,Well 140,BIO1_3_20220304
ypadOLY077,YPAD,YPAD,BIO1,left,Well 141,BIO1_3_20220304
cobm_1,co,ZN,BIO1,left,Well 142,BIO1_3_20220304
cobm_17,co,ZN,BIO1,left,Well 143,BIO1_3_20220304
blank,NA,ZN,BIO1,left,Well 144,BIO1_3_20220304
cubm_18,cu,ZN,BIO1,left,Well 145,BIO1_3_20220304
cdbm_29,cd,ZN,BIO1,left,Well 146,BIO1_3_20220304
cobm_14,co,ZN,BIO1,left,Well 147,BIO1_3_20220304
mnbm_39,mn,ZN,BIO1,left,Well 148,BIO1_3_20220304
ypadOLY077,YPAD,YPAD,BIO1,left,Well 149,BIO1_3_20220304
mnbm_32,mn,ZN,BIO1,left,Well 150,BIO1_3_20220304
mnbm_17,mn,ZN,BIO1,left,Well 151,BIO1_3_20220304
znbm_11,zn,ZN,BIO1,left,Well 152,BIO1_3_20220304
mnbm_31,mn,ZN,BIO1,left,Well 153,BIO1_3_20220304
nibm_27,ni,ZN,BIO1,left,Well 154,BIO1_3_20220304
